category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
11,Maishiy texnikaKatta maishiy texnikaPechlar,Maishiy texnika,Katta maishiy texnika,Pechlar,,,,10%,10%,10%
13,Maishiy texnikaKatta maishiy texnikaPechkalarGaz pechkalar,Maishiy texnika,Katta maishiy texnika,Pechkalar,Gaz pechkalar,,,10%,10%,10%
14,KitoblarDiniy kitoblarXristianlikMuqaddas matnlar,Kitoblar,Diniy kitoblar,Xristianlik,Muqaddas matnlar,,,20%,20%,20%
16,Maishiy texnikaKatta maishiy texnikaQuritgich mashinasi,Maishiy texnika,Katta maishiy texnika,Quritgich mashinasi,,,,10%,10%,10%
17,Maishiy texnikaKatta maishiy texnikaIdish yuvish mashinalar,Maishiy texnika,Katta maishiy texnika,Idish yuvish mashinalar,,,,10%,10%,10%
"18,""Dacha, bogʻ va tomorqaBogʻ asboblariBoltalarBolta"",""Dacha, bogʻ va tomorqa"",Bogʻ asboblari,Boltalar,Bolta,,,25%,25%,25%"
22,Qurilish va taʼmirlashMahkamlagichlar va armaturaMahkamlash plastinalariQisqichlar va bog'ichlar,Qurilish va taʼmirlash,Mahkamlagichlar va armatura,Mahkamlash plastinalari,Qisqichlar va bog'ichlar,,,20%,20%,20%
24,Qurilish va taʼmirlashAsboblarElektr asboblarElektr planerlar,Qurilish va taʼmirlash,Asboblar,Elektr asboblar,Elektr planerlar,,,15%,15%,15%
26,Qurilish va taʼmirlashSantexnikaSantexnika armatura va aksessuarlarРемкомплекты и запчасти,Qurilish va taʼmirlash,Santexnika,Santexnika armatura va aksessuarlar,Ремкомплекты и запчасти,,,25%,25%,25%
"28,""SalomatlikPrezervativlar, lubrikantlar va prolongatorlarPrezervativlar"",Salomatlik,""Prezervativlar, lubrikantlar va prolongatorlar"",Prezervativlar,,,,25%,25%,25%"
29,Uy-roʻzgʻor buyumlariMebelPoyabzal uchun javonlar,Uy-roʻzgʻor buyumlari,Mebel,Poyabzal uchun javonlar,,,,20%,20%,20%
"62,""Oziq-ovqat mahsulotlariSuv, sharbatlar, ichimliklarEnergetik ichimliklar"",Oziq-ovqat mahsulotlari,""Suv, sharbatlar, ichimliklar"",Energetik ichimliklar,,,,15%,15%,15%"
63,Uy-roʻzgʻor buyumlariMebelSeyflar,Uy-roʻzgʻor buyumlari,Mebel,Seyflar,,,,15%,15%,15%
"64,""Oziq-ovqat mahsulotlariUn, shakar va tuzTuz"",Oziq-ovqat mahsulotlari,""Un, shakar va tuz"",Tuz,,,,15%,15%,15%"
65,Qurilish va taʼmirlashSantexnikaVannalar va butlovchi qismlarButlovchi qismlar,Qurilish va taʼmirlash,Santexnika,Vannalar va butlovchi qismlar,Butlovchi qismlar,Aeromassaj to‘plami,,18%,18%,18%
68,Kanselyariya tovarlariYozuv qurollariQalam o'tkirlagichlar,Kanselyariya tovarlari,Yozuv qurollari,Qalam o'tkirlagichlar,,,,20%,20%,20%
"69,""Oziq-ovqat mahsulotlariMakaronlar, yormalar va quruq nonushtalarYormalar va dukkaklilarSuli"",Oziq-ovqat mahsulotlari,""Makaronlar, yormalar va quruq nonushtalar"",Yormalar va dukkaklilar,Suli,,,12%,12%,12%"
"70,""Oziq-ovqat mahsulotlariMakaronlar, yormalar va quruq nonushtalarYormalar va dukkaklilarOqlangan tariq"",Oziq-ovqat mahsulotlari,""Makaronlar, yormalar va quruq nonushtalar"",Yormalar va dukkaklilar,Oqlangan tariq,,,12%,12%,12%"
71,Oziq-ovqat mahsulotlariSogʻlom ovqatlanishDengiz o'tlari,Oziq-ovqat mahsulotlari,Sogʻlom ovqatlanish,Dengiz o'tlari,,,,15%,15%,15%
"72,""Oziq-ovqat mahsulotlariAsal, murabbo, shirin konservalarSiroplar va toppinglar"",Oziq-ovqat mahsulotlari,""Asal, murabbo, shirin konservalar"",Siroplar va toppinglar,,,,15%,15%,15%"
"73,""Oziq-ovqat mahsulotlariMakaronlar, yormalar va quruq nonushtalarYormalar va dukkaklilarPerlovka"",Oziq-ovqat mahsulotlari,""Makaronlar, yormalar va quruq nonushtalar"",Yormalar va dukkaklilar,Perlovka,,,12%,12%,12%"
77,AvtotovarlarAvtomobil uchun elektronikaAlkotesterlar,Avtotovarlar,Avtomobil uchun elektronika,Alkotesterlar,,,,20%,20%,20%
78,Maishiy texnikaKatta maishiy texnikaPechkalarKombinatsiyalangan pechkalar,Maishiy texnika,Katta maishiy texnika,Pechkalar,Kombinatsiyalangan pechkalar,,,10%,10%,10%
81,Maishiy texnikaKatta maishiy texnikaPechkalarElektr pechkalar,Maishiy texnika,Katta maishiy texnika,Pechkalar,Elektr pechkalar,,,10%,10%,10%
82,Maishiy texnikaKatta maishiy texnikaSovutgichlar va muzlatgichlarSovutgichlar,Maishiy texnika,Katta maishiy texnika,Sovutgichlar va muzlatgichlar,Sovutgichlar,,,10%,10%,10%
83,Maishiy texnikaKatta maishiy texnikaSovutgichlar va muzlatgichlarMuzlatgichlar,Maishiy texnika,Katta maishiy texnika,Sovutgichlar va muzlatgichlar,Muzlatgichlar,,,10%,10%,10%
84,Maishiy texnikaKatta maishiy texnikaSovutgichlar va muzlatgichlarSovutish shkaflari,Maishiy texnika,Katta maishiy texnika,Sovutgichlar va muzlatgichlar,Sovutish shkaflari,,,10%,10%,10%
85,Maishiy texnikaKatta maishiy texnikaSovutgichlar va muzlatgichlarSharob shkaflari,Maishiy texnika,Katta maishiy texnika,Sovutgichlar va muzlatgichlar,Sharob shkaflari,,,10%,10%,10%
"86,""Xobbi va ijodPazl, mozaika va freskaPazllar"",Xobbi va ijod,""Pazl, mozaika va freska"",Pazllar,,,,22%,22%,22%"
88,Oziq-ovqat mahsulotlariPishiriq va desertlar uchun mahsulotlarOzuqaviy qoʻshimchalarOzuqaviy bo'yoqlar va aromatizatorlar,Oziq-ovqat mahsulotlari,Pishiriq va desertlar uchun mahsulotlar,Ozuqaviy qoʻshimchalar,Ozuqaviy bo'yoqlar va aromatizatorlar,,,15%,15%,15%
90,Qurilish va taʼmirlashIsitishKengaytiradigan baklar,Qurilish va taʼmirlash,Isitish,Kengaytiradigan baklar,,,,22%,22%,22%
92,ElektronikaQuloqchinlar va audio texnikalarAudiotexnikaRatsiya va radiostansiyalar,Elektronika,Quloqchinlar va audio texnikalar,Audiotexnika,Ratsiya va radiostansiyalar,Radiostansiyalar,,18%,18%,18%
114,Oziq-ovqat mahsulotlariSogʻlom ovqatlanishUrbech,Oziq-ovqat mahsulotlari,Sogʻlom ovqatlanish,Urbech,,,,22%,22%,22%
"115,""Oziq-ovqat mahsulotlariAsal, murabbo, shirin konservalarMurabbo, jemlar va yanchilgan rezavorlar"",Oziq-ovqat mahsulotlari,""Asal, murabbo, shirin konservalar"",""Murabbo, jemlar va yanchilgan rezavorlar"",,,,15%,15%,15%"
125,Qurilish va taʼmirlashIsitishSharli kranlar,Qurilish va taʼmirlash,Isitish,Sharli kranlar,,,,25%,25%,25%
126,Qurilish va taʼmirlashIsitishHavo va shlam separatorlari,Qurilish va taʼmirlash,Isitish,Havo va shlam separatorlari,,,,25%,25%,25%
129,Qurilish va taʼmirlashIsitishIssiq pollarSuvda isitiladigan pol,Qurilish va taʼmirlash,Isitish,Issiq pollar,Suvda isitiladigan pol,Issiq pollar uchun harorat,,25%,25%,25%
130,Qurilish va taʼmirlashIsitishIssiq pollarSuvda isitiladigan pol,Qurilish va taʼmirlash,Isitish,Issiq pollar,Suvda isitiladigan pol,Kollektor guruhlari,,25%,25%,25%
132,Oziq-ovqat mahsulotlariKonservalarKonservalangan ovqatlar,Oziq-ovqat mahsulotlari,Konservalar,Konservalangan ovqatlar,,,,15%,15%,15%
"134,""Oziq-ovqat mahsulotlariYog'lar, souslar va ziravorlarZiravorlar"",Oziq-ovqat mahsulotlari,""Yog'lar, souslar va ziravorlar"",Ziravorlar,,,,15%,15%,15%"
"135,""Oziq-ovqat mahsulotlariUn, shakar va tuzShakar"",Oziq-ovqat mahsulotlari,""Un, shakar va tuz"",Shakar,,,,5%,5%,5%"
"136,""Oziq-ovqat mahsulotlariUn, shakar va tuzUn"",Oziq-ovqat mahsulotlari,""Un, shakar va tuz"",Un,,,,15%,15%,15%"
"138,""Oziq-ovqat mahsulotlariYog'lar, souslar va ziravorlarSouslarSirka"",Oziq-ovqat mahsulotlari,""Yog'lar, souslar va ziravorlar"",Souslar,Sirka,,,15%,15%,15%"
"142,""Oziq-ovqat mahsulotlariMakaronlar, yormalar va quruq nonushtalarMakaronlar"",Oziq-ovqat mahsulotlari,""Makaronlar, yormalar va quruq nonushtalar"",Makaronlar,,,,12%,12%,12%"
"143,""Oziq-ovqat mahsulotlariChoy, qahva va kakaoQoʻshimchalar qoʻshilgan choy"",Oziq-ovqat mahsulotlari,""Choy, qahva va kakao"",Qoʻshimchalar qoʻshilgan choy,,,,17%,17%,17%"
167,SalomatlikReabilitatsiya uchun mahsulotlarDekubitaga qarshi matraslar,Salomatlik,Reabilitatsiya uchun mahsulotlar,Dekubitaga qarshi matraslar,,,,22%,22%,22%
"326,""Oziq-ovqat mahsulotlariSneklar, yong'oqlar va pistalarYongʻoqlar"",Oziq-ovqat mahsulotlari,""Sneklar, yong'oqlar va pistalar"",Yongʻoqlar,,,,15%,15%,15%"
"329,""Oziq-ovqat mahsulotlariSogʻlom ovqatlanishBalzamlar, toniklar, eliksirlar"",Oziq-ovqat mahsulotlari,Sogʻlom ovqatlanish,""Balzamlar, toniklar, eliksirlar"",,,,15%,15%,15%"
330,Qurilish va taʼmirlashSantexnikaVannalar va butlovchi qismlarButlovchi qismlar,Qurilish va taʼmirlash,Santexnika,Vannalar va butlovchi qismlar,Butlovchi qismlar,Vanna uchun tiqin,,18%,18%,18%
356,Oziq-ovqat mahsulotlariPishirish va shirinliklarShokolad,Oziq-ovqat mahsulotlari,Pishirish va shirinliklar,Shokolad,,,,20%,-,-
366,Oziq-ovqat mahsulotlariSogʻlom ovqatlanishQarsildoq nonlar,Oziq-ovqat mahsulotlari,Sogʻlom ovqatlanish,Qarsildoq nonlar,,,,15%,15%,15%
369,Oziq-ovqat mahsulotlariPishirish va shirinliklarBatonchalar,Oziq-ovqat mahsulotlari,Pishirish va shirinliklar,Batonchalar,,,,20%,-,-
531,Oziq-ovqat mahsulotlariKonservalarKonservalangan goʻsht,Oziq-ovqat mahsulotlari,Konservalar,Konservalangan goʻsht,,,,15%,15%,15%
"555,""Oziq-ovqat mahsulotlariChoy, qahva va kakaoSikoriy"",Oziq-ovqat mahsulotlari,""Choy, qahva va kakao"",Sikoriy,,,,17%,17%,17%"
1892,Oziq-ovqat mahsulotlariPishirish va shirinliklarSaqichlar,Oziq-ovqat mahsulotlari,Pishirish va shirinliklar,Saqichlar,,,,20%,20%,20%
"1915,""Oziq-ovqat mahsulotlariPishirish va shirinliklarShokoladli, yongʻoqli pasta"",Oziq-ovqat mahsulotlari,Pishirish va shirinliklar,""Shokoladli, yongʻoqli pasta"",,,,20%,20%,20%"
2477,Oziq-ovqat mahsulotlariKonservalarKonservalangan sabzavotlar,Oziq-ovqat mahsulotlari,Konservalar,Konservalangan sabzavotlar,,,,15%,15%,15%
2570,Goʻzallik va parvarishShaxsiy gigiyenaQogʻoz va paxta mahsulotlariNam salfetkalar,Goʻzallik va parvarish,Shaxsiy gigiyena,Qogʻoz va paxta mahsulotlari,Nam salfetkalar,,,20%,20%,20%
2571,Goʻzallik va parvarishShaxsiy gigiyenaOgʻiz boʻshligʻi gigiyenasiTish ipi,Goʻzallik va parvarish,Shaxsiy gigiyena,Ogʻiz boʻshligʻi gigiyenasi,Tish ipi,,,20%,20%,20%
2572,Goʻzallik va parvarishShaxsiy gigiyenaOgʻiz boʻshligʻi gigiyenasiElektr tish choʻtkalari,Goʻzallik va parvarish,Shaxsiy gigiyena,Ogʻiz boʻshligʻi gigiyenasi,Elektr tish choʻtkalari,,,20%,20%,20%
2573,Goʻzallik va parvarishShaxsiy gigiyenaOgʻiz boʻshligʻi gigiyenasiElektr tish choʻtkalari va irrigatorlar uchun nasadkalar,Goʻzallik va parvarish,Shaxsiy gigiyena,Ogʻiz boʻshligʻi gigiyenasi,Elektr tish choʻtkalari va irrigatorlar uchun nasadkalar,,,20%,20%,20%
2574,Goʻzallik va parvarishShaxsiy gigiyenaOgʻiz boʻshligʻi gigiyenasiElektr tish choʻtkalari va irrigatorlar uchun aksessuarlar,Goʻzallik va parvarish,Shaxsiy gigiyena,Ogʻiz boʻshligʻi gigiyenasi,Elektr tish choʻtkalari va irrigatorlar uchun aksessuarlar,,,20%,20%,20%
2575,Bolalar tovarlariAravachalar va avtomobil uchun oʻrindiqlarAravachalar va avtomobil o'rindiqlari uchun aksessuarlar,Bolalar tovarlari,Aravachalar va avtomobil uchun oʻrindiqlar,Aravachalar va avtomobil o'rindiqlari uchun aksessuarlar,,,,25%,25%,25%
2576,Bolalar tovarlariOʻyinchoqlar va oʻyinlarChoʻmilish uchun oʻyinchoqlar,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Choʻmilish uchun oʻyinchoqlar,,,,30%,30%,30%
2577,Bolalar tovarlariOvqatlantirish uchun tovarlarOvqatlantirish uchun idishlar va anjomlariBolalar uchun likopchalar va miskalar,Bolalar tovarlari,Ovqatlantirish uchun tovarlar,Ovqatlantirish uchun idishlar va anjomlari,Bolalar uchun likopchalar va miskalar,,,20%,20%,20%
2578,Bolalar tovarlariGigiyena va tagliklarOgʻiz boʻshligʻi gigiyenasiBolalar tish pastalari,Bolalar tovarlari,Gigiyena va tagliklar,Ogʻiz boʻshligʻi gigiyenasi,Bolalar tish pastalari,,,20%,20%,20%
2580,Bolalar tovarlariOʻyinchoqlar va oʻyinlarKonstruktorlarYogʻochdan,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Konstruktorlar,Yogʻochdan,,,20%,20%,20%
2581,Bolalar tovarlariOʻyinchoqlar va oʻyinlarKonstruktorlarMagnitli,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Konstruktorlar,Magnitli,,,20%,20%,20%
2582,Bolalar tovarlariOʻyinchoqlar va oʻyinlarKonstruktorlarBloklar,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Konstruktorlar,Bloklar,,,20%,20%,20%
2583,Bolalar tovarlariOʻyinchoqlar va oʻyinlarKonstruktorlarMetalldan,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Konstruktorlar,Metalldan,,,20%,20%,20%
2584,Bolalar tovarlariOʻyinchoqlar va oʻyinlarYogʻoch oʻyinchoqlar,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Yogʻoch oʻyinchoqlar,,,,20%,20%,20%
2585,Bolalar tovarlariOʻyinchoqlar va oʻyinlarQoʻgʻirchoqlar uychalari,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Qoʻgʻirchoqlar uychalari,,,,20%,20%,20%
2586,Bolalar tovarlariOʻyinchoqlar va oʻyinlarOʻyinchoqlar – antistress,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Oʻyinchoqlar – antistress,,,,20%,20%,20%
2587,Bolalar tovarlariOʻyinchoqlar va oʻyinlarFigurachalar va aksessuarlar,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Figurachalar va aksessuarlar,,,,20%,20%,20%
2588,Bolalar tovarlariOʻyinchoqlar va oʻyinlarOʻrgatuvchi va rivojlantiruvchi oʻyinchoqlarSyujetli-rolli oʻyinlar,Bolalar tovarlari,Oʻyinchoqlar va oʻyinlar,Oʻrgatuvchi va rivojlantiruvchi oʻyinchoqlar,Syujetli-rolli oʻyinlar,,,20%,20%,20%
2590,Sport va hordiqSuv sporti va suvda dam olishSuzishDoiralar va matraslar,Sport va hordiq,Suv sporti va suvda dam olish,Suzish,Doiralar va matraslar,Suzish uchun matraslar,,25%,25%,25%
2592,Bolalar tovarlariBolalar sporti va faol hordiqOchiq havoda oʻynaladigan oʻyinlarVarraklar,Bolalar tovarlari,Bolalar sporti va faol hordiq,Ochiq havoda oʻynaladigan oʻyinlar,Varraklar,,,25%,25%,25%
2593,Bolalar tovarlariBolalar sporti va faol hordiqOchiq havoda oʻynaladigan oʻyinlarBumeranglar,Bolalar tovarlari,Bolalar sporti va faol hordiq,Ochiq havoda oʻynaladigan oʻyinlar,Bumeranglar,,,25%,25%,25%
