,,,,,,,,,,
,,,,,,,,,,
category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
11,Бытовая техникаКрупная бытовая техникаДуховые шкафы,Бытовая техника,Крупная бытовая техника,Духовые шкафы,,,,10%,10%,10%
13,Бытовая техникаКрупная бытовая техникаПлитыГазовые плиты,Бытовая техника,Крупная бытовая техника,Плиты,Газовые плиты,,,10%,10%,10%
14,КнигиРелигиозные книгиХристианствоСвященные тексты,Книги,Религиозные книги,Христианство,Священные тексты,,,20%,20%,20%
16,Бытовая техникаКрупная бытовая техникаСушильные машины,Бытовая техника,Крупная бытовая техника,Сушильные машины,,,,10%,10%,10%
17,Бытовая техникаКрупная бытовая техникаПосудомоечные машины,Бытовая техника,Крупная бытовая техника,Посудомоечные машины,,,,10%,10%,10%
18,"Дача, сад и огородСадовый инструментТопорыТопор","Дача, сад и огород",Садовый инструмент,Топоры,Топор,,,25%,25%,25%
22,Строительство и ремонтКрепеж и фурнитураПластины крепежныеХомуты и стяжки,Строительство и ремонт,Крепеж и фурнитура,Пластины крепежные,Хомуты и стяжки,,,20%,20%,20%
24,Строительство и ремонтИнструментыЭлектроинструментыЭлектрорубанки,Строительство и ремонт,Инструменты,Электроинструменты,Электрорубанки,,,15%,15%,15%
26,Строительство и ремонтСантехникаАрматура и аксессуары для сантехникиРемкомплекты и запчасти,Строительство и ремонт,Сантехника,Арматура и аксессуары для сантехники,Ремкомплекты и запчасти,,,25%,25%,25%
28,"ЗдоровьеПрезервативы, лубриканты и пролонгаторыПрезервативы",Здоровье,"Презервативы, лубриканты и пролонгаторы",Презервативы,,,,25%,25%,25%
29,Товары для домаМебельЭтажерки и обувницы,Товары для дома,Мебель,Этажерки и обувницы,,,,20%,20%,20%
62,"Продукты питанияВода, соки, напиткиЭнергетические напитки",Продукты питания,"Вода, соки, напитки",Энергетические напитки,,,,15%,15%,15%
63,Товары для домаМебельСейфы,Товары для дома,Мебель,Сейфы,,,,15%,15%,15%
64,"Продукты питанияМука, сахар и сольСоль",Продукты питания,"Мука, сахар и соль",Соль,,,,15%,15%,15%
65,Строительство и ремонтСантехникаВанны и комплектующиеКомплектующиеАэромассажный комплект,Строительство и ремонт,Сантехника,Ванны и комплектующие,Комплектующие,Аэромассажный комплект,,18%,18%,18%
68,КанцтоварыПисьменные принадлежностиТочилки для карандашей,Канцтовары,Письменные принадлежности,Точилки для карандашей,,,,20%,20%,20%
69,"Продукты питанияМакароны, крупы и сухие завтракиКрупы и бобовыеОвсяная",Продукты питания,"Макароны, крупы и сухие завтраки",Крупы и бобовые,Овсяная,,,12%,12%,12%
70,"Продукты питанияМакароны, крупы и сухие завтракиКрупы и бобовыеПшено",Продукты питания,"Макароны, крупы и сухие завтраки",Крупы и бобовые,Пшено,,,12%,12%,12%
71,Продукты питанияЗдоровое питаниеМорские водоросли,Продукты питания,Здоровое питание,Морские водоросли,,,,15%,15%,15%
